"id","description","image_link","link","title","price","brand","custom_label_0","availability","condition","additional_image_link","google_product_category"
"43197","Коллекция Harcourt 1841 самая старая из выпускаемых доныне в архиве Baccarat. созданая в 1841 году коллекция Harcourt сверкала на столах многих исторических икон и была одним из любимых предметов сервировки французской власти, начиная с эпохи Наполеона III, вплоть до ее современного использования в Елисейском Дворце. Потягивая напитки из хрусталя Harcourt, вы приобщаетесь к легендарной истории.","https://empirehall.com.ua/image/cache/catalog/products/2805283-600x600.jpg","https://empirehall.com.ua/magazin/podarki/semejnim-param/набор-из-двух-чашек-для-эспрессо-аркур--v-009-мл","Набор из двух чашек для эспрессо 'Harcourt', v 0,09 мл","11340 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2805283-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2805283_1-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2805283_2-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2805283_3-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2805283_4-600x600.jpg",""
"43198","Baccarat разработали уникальную дегустационную коллекцию, подчеркивая различия и особенности национального достояния Франции – виноградников, где производится лучший в мире алкоголь. 
4 разных бокала, чтобы смаковать 4 разных напитка.      Винодельческое хозяйство Романе-Конти, расположенное в Бургундии, самое известное в мире, ведь производит самые дорогие вина. Бокал для дегустации Романе-Конти имеет форму воздушного шара, обеспечивая максимальную аэрацию напитка. Бокал позволяет вам насладиться сразу двумя важными элементами культурного наследия Франции: непревзойденное хрустальным мастерством Baccarat и французским винодельческим искусством.","https://empirehall.com.ua/image/cache/catalog/products/1100173-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/bokali-i-stakani1/bokali-dlya-krasnogo-vina/бокал-для-дегустации-романе-конти-h-23-см","Бокал для дегустации Романе-Конти 'Dégustation Romanée Conti', h 23 см","11530 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/1100173-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/1100173_1-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/1100173_2-600x600.jpg",""
"43199","Baccarat разработали уникальную дегустационную коллекцию, подчеркивая различия и особенности национального достояния Франции – виноградников, где производится лучший в мире алкоголь. 
4 разных бокала, чтобы смаковать 4 разных напитка.     Коньяк – известный крепкий напиток производится по особой технологии из винограда, также выращенного во Франции, а именно в регионе Шаранта. Коньяк имеет строгие производственные стандарты, как и хрусталь Baccarat. И коньячний бокал должен соответствовать всем стандартам, для наслаждения нюансами этого роскошного напитка. Бокал для коньяка  изготовлен как классический снифтер: короткая ножка, широкая шарообразная чаша, узкое горлышко – такая форма позволяет выпускать аромат, концентрируя букет коньяка.  Чтобы лучше вкусить напиток, его согревают теплом ладоней, и вдыхают собравшийся в верхней части бокала аромат.","https://empirehall.com.ua/image/cache/catalog/products/2811794-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/bokali-i-stakani1/bokali-dlya-konyaka-brendi/набор-из-двух-бокалов-для-дегустации-коньяка-h-145-см","Набор из двух бокалов для дегустации коньяка 'Dégustation Cognac', h 14,5 см","11720 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2811794-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2811794_1-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2811794_2-600x600.jpg",""
"43200","Коллекция Chateau разработана в сотрудничестве с винным экспертом Бруно Кениу учитывая последние изменения на винном рынке и изготовлена не только стильно, но и профессионально. Силуэты бокалов созданы по примеру терруар-сегментированных дегустационных бокалов сомелье и позволяют добиться наилучшего раскрытия вкуса вина.
Высокие и объемные чаши бокалов имеют широкое основание и узкое горлышко, такая форма хорошо аэрирует вино, раскрывая сложные ноты, прекрасно распространяет аромат, когда вы кружите напиток в бокале, не позволяя вину выплескиваться, а также не дает пузырькам в игристом вине улетучиваться слишком быстро.","https://empirehall.com.ua/image/cache/catalog/products/2802435-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/bokali-i-stakani1/bokali-dlya-krasnogo-vina/набор-из-двух-больших-бокалов-для-красного-вина-шато--h-24-см","Набор из двух больших бокалов для красного вина 'Chateau', h 24 см","9610 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2802435-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2802435_1-600x600.jpg",""
"43201","Коллекция Chateau разработана в сотрудничестве с винным экспертом Бруно Кениу учитывая последние изменения на винном рынке и изготовлена не только стильно, но и профессионально. Силуэты бокалов созданы по примеру терруар-сегментированных дегустационных бокалов сомелье и позволяют добиться наилучшего раскрытия вкуса вина.
Высокие и объемные чаши бокалов имеют широкое основание и узкое горлышко, такая форма хорошо аэрирует вино, раскрывая сложные ноты, прекрасно распространяет аромат, когда вы кружите напиток в бокале, не позволяя вину выплескиваться, а также не дает пузырькам в игристом вине улетучиваться слишком быстро.","https://empirehall.com.ua/image/cache/catalog/products/2611151-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/bokali-i-stakani1/bokali-dlya-krasnogo-vina/набор-из-двух-бокалов-для-красного-вина-шато--h-22-см","Набор из двух бокалов для красного вина 'Chateau', h 22 см","7690 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2611151-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2611151_1-600x600.jpg",""
"43202","Коллекция Chateau разработана в сотрудничестве с винным экспертом Бруно Кениу учитывая последние изменения на винном рынке и изготовлена не только стильно, но и профессионально. Силуэты бокалов созданы по примеру терруар-сегментированных дегустационных бокалов сомелье и позволяют добиться наилучшего раскрытия вкуса вина.
Высокие и объемные чаши бокалов имеют широкое основание и узкое горлышко, такая форма хорошо аэрирует вино, раскрывая сложные ноты, прекрасно распространяет аромат, когда вы кружите напиток в бокале, не позволяя вину выплескиваться, а также не дает пузырькам в игристом вине улетучиваться слишком быстро.","https://empirehall.com.ua/image/cache/catalog/products/2611150-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/bokali-i-stakani1/bokali-dlya-belogo-vina/набор-из-двух-бокалов-для-белого-вина-шато--h-21-см","Набор из двух бокалов для белого вина 'Chateau', h 21 см","7690 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2611150-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2611150_1-600x600.jpg",""
"43203","Коллекция Chateau разработана в сотрудничестве с винным экспертом Бруно Кениу учитывая последние изменения на винном рынке и изготовлена не только стильно, но и профессионально. Силуэты бокалов созданы по примеру терруар-сегментированных дегустационных бокалов сомелье и позволяют добиться наилучшего раскрытия вкуса вина.
Высокие и объемные чаши бокалов имеют широкое основание и узкое горлышко, такая форма хорошо аэрирует вино, раскрывая сложные ноты, прекрасно распространяет аромат, когда вы кружите напиток в бокале, не позволяя вину выплескиваться, а также не дает пузырькам в игристом вине улетучиваться слишком быстро.","https://empirehall.com.ua/image/cache/catalog/products/2611149-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/bokali-i-stakani1/bokali-dlya-shampanskogo/набор-из-двух-бокалов-для-шампанского-шато--h-24-см","Набор из двух бокалов для шампанского 'Chateau', h 24 см","7690 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2611149-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2611149_1-600x600.jpg",""
"43204","Коллекция Chateau разработана в сотрудничестве с винным экспертом Бруно Кениу учитывая последние изменения на винном рынке и изготовлена не только стильно, но и профессионально. Силуэты созданы по примеру терруар-сегментированных дегустационных сосудов сомелье и позволяют добиться наилучшего раскрытия вкуса вина.
Для этой коллекции Baccarat создали идеальный декантер из кристально-чистого хрусталя, который позволит насладиться любимым напитком в полной мере. Форма сосуда прекрасно подходит для аэрации вина, чтобы оно 'подышало полной грудью' и раскрыло свой аромат.

.","https://empirehall.com.ua/image/cache/catalog/products/2610986-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/dlya-podachi-napitkov1/dekanteri1/декантер-для-вина-шато--v-128-л","Декантер для вина 'Chateau', v 1,28 л","16910 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2610986-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2610986_1-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2610986_2-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2610986_3-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2610986_4-600x600.jpg",""
"43205","Глубокие прорези выгравированы в прозрачном хрустале от ножки бокалов до основания широкой чаши - столь сложная детализация придает хрустальным предметам коллекции впечатляющий вес. Необыкновенные бокалы, словно драгоценные камни, преломляют свет и оттеняют цвет напитков. Мастерство исполнения подчеркивает абсолютную точность и искусность работы мастеров мануфактуры.","https://empirehall.com.ua/image/cache/catalog/products/1344102-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/bokali-i-stakani1/bokali-dlya-krasnogo-vina/бокал-для-вина-массена--h-175-см","Бокал для вина 'Massena', h 17,5 см","7500 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/1344102-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/1344102_1-600x600.jpg",""
"43206","Глубокие прорези выгравированы в прозрачном хрустале от ножки бокалов до основания широкой чаши - столь сложная детализация придает хрустальным предметам коллекции впечатляющий вес. Необыкновенные бокалы, словно драгоценные камни, преломляют свет и оттеняют цвет напитков. Мастерство исполнения подчеркивает абсолютную точность и искусность работы мастеров мануфактуры.","https://empirehall.com.ua/image/cache/catalog/products/1344101-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/bokali-i-stakani1/bokali-dlya-vodi/бокал-для-воды-массена--h-19-см","Бокал для воды 'Massena', h 19 см","7500 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/1344101-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/1344101_7-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/1344101_8-600x600.jpg",""
"43207","Глубокие прорези выгравированы в прозрачном хрустале от ножки бокалов до основания широкой чаши. Столь сложная детализация придает хрустальным предметам коллекции впечатляющий вес. Необыкновенные бокалы, словно драгоценные камни, преломляют свет и оттеняют цвет напитка.
Гравированный виртуозной рукой мастера хрустальный бокал Massena в форме кубка для шампанского занял высокое положение в мире изящных хрустальных произведений. Сложность дизайна сделала этот бокала своеобразным «кубком современности».","https://empirehall.com.ua/image/cache/catalog/products/2811796-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/bokali-i-stakani1/bokali-dlya-shampanskogo/набор-из-двух-бокалов-блюдец-для-шампанского-массена--h-13-см","Набор из двух бокалов - блюдец для шампанского 'Massena', h 13 см","14600 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2811796-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2811796_1-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2811796_2-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2811796_3-600x600.jpg",""
"43208","Глубокие прорези выгравированы в прозрачном хрустале от ножки бокалов до основания широкой чаши - столь сложная детализация придает хрустальным предметам коллекции впечатляющий вес. Необыкновенные бокалы, словно драгоценные камни, преломляют свет и оттеняют цвет напитков. Мастерство исполнения подчеркивает абсолютную точность и искусность работы мастеров мануфактуры.","https://empirehall.com.ua/image/cache/catalog/products/1344106-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/bokali-i-stakani1/bokali-dlya-belogo-vina/бокал-для-вина-массена--h-16-см","Бокал для вина 'Massena', h 16 см","7500 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/1344106-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/1344106_7-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/1344106_8-600x600.jpg",""
"43209","Глубокие прорези выгравированы в прозрачном хрустале от ножки бокалов до основания широкой чаши - столь сложная детализация придает хрустальным предметам коллекции впечатляющий вес. Необыкновенные бокалы, словно драгоценные камни, преломляют свет и оттеняют цвет напитков. Мастерство исполнения подчеркивает абсолютную точность и искусность работы мастеров мануфактуры.","https://empirehall.com.ua/image/cache/catalog/products/1344300-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/dlya-podachi-napitkov1/kuvshini1/кувшин-массена--h-24-см","Кувшин 'Massena', h 24 см","32650 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/1344300-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/1344300_6-600x600.jpg",""
"43210","Коллекция Harcourt 1841 самая старая из выпускаемых доныне в архиве Baccarat. созданая в 1841 году коллекция Harcourt сверкала на столах многих исторических икон и была одним из любимых предметов сервировки французской власти, начиная с эпохи Наполеона III, вплоть до ее современного использования в Елисейском Дворце. Потягивая напитки из хрусталя Harcourt, вы приобщаетесь к легендарной истории.","https://empirehall.com.ua/image/cache/catalog/products/1201101-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/bokali-i-stakani1/bokali-dlya-vodi/бокал-для-воды-аркур--h-165-cм","Бокал для воды 'Harcourt', h 16,5 cм","7500 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/1201101-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/1201101_1-600x600.jpg",""
"43211","Коллекция Harcourt 1841 самая старая из выпускаемых доныне в архиве Baccarat. созданая в 1841 году коллекция Harcourt сверкала на столах многих исторических икон и была одним из любимых предметов сервировки французской власти, начиная с эпохи Наполеона III, вплоть до ее современного использования в Елисейском Дворце. Потягивая напитки из хрусталя Harcourt, вы приобщаетесь к легендарной истории.","https://empirehall.com.ua/image/cache/catalog/products/1201102-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/bokali-i-stakani1/bokali-dlya-vodi/бокал-для-воды-аркур--h-155-cм","Бокал для воды 'Harcourt', h 15,5 cм","7500 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/1201102-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/1201102_1-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/1201102_2-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/1201102_3-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/1201102_4-600x600.jpg",""
"43212","Коллекция Harcourt 1841 самая старая из выпускаемых доныне в архиве Baccarat. созданая в 1841 году коллекция Harcourt сверкала на столах многих исторических икон и была одним из любимых предметов сервировки французской власти, начиная с эпохи Наполеона III, вплоть до ее современного использования в Елисейском Дворце. Потягивая напитки из хрусталя Harcourt, вы приобщаетесь к легендарной истории.","https://empirehall.com.ua/image/cache/catalog/products/2811799-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/bokali-i-stakani1/bokali-dlya-shampanskogo/набор-из-двух-бокалов-для-шампанского-аркур--h-18-cм","Набор из двух бокалов для шампанского 'Harcourt', h 18 cм","14600 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2811799-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2811799_1-600x600.jpg",""
"43213","Коллекция Harcourt 1841 самая старая из выпускаемых доныне в архиве Baccarat. созданая в 1841 году коллекция Harcourt сверкала на столах многих исторических икон и была одним из любимых предметов сервировки французской власти, начиная с эпохи Наполеона III, вплоть до ее современного использования в Елисейском Дворце. Потягивая напитки из хрусталя Harcourt, вы приобщаетесь к легендарной истории.","https://empirehall.com.ua/image/cache/catalog/products/2811798-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/bokali-i-stakani1/bokali-dlya-shampanskogo/набор-из-двух-бокалов-блюдец-для-шампанского-аркур--h-13-cм","Набор из двух бокалов - блюдец для шампанского 'Harcourt', h 13 cм","14600 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2811798-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2811798_1-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2811798_2-600x600.jpg,https://empirehall.com.ua/image/cache/catalog/products/2811798_3-600x600.jpg",""
"43214","Коллекция Harcourt 1841 самая старая из выпускаемых доныне в архиве Baccarat. созданая в 1841 году коллекция Harcourt сверкала на столах многих исторических икон и была одним из любимых предметов сервировки французской власти, начиная с эпохи Наполеона III, вплоть до ее современного использования в Елисейском Дворце. Потягивая напитки из хрусталя Harcourt, вы приобщаетесь к легендарной истории.","https://empirehall.com.ua/image/cache/catalog/products/2810590-600x600.jpg","https://empirehall.com.ua/magazin/posuda-dlya-napitkov1/bokali-i-stakani1/bokali-dlya-vodi/набор-из-двух-бокалов-с-красным-кристаллом-аркур--h-155-cм","Набор из двух бокалов с красным кристаллом 'Harcourt', h 15,5 cм","18440 UAH","BACCARAT","Магазин","in stock","new","https://empirehall.com.ua/image/cache/catalog/products/2810590-600x600.jpg",""
